geom;i_th_max;c;x;r;length_m;frequency;wires;cables;voltage;v_id_2;v_id_1;l_id
108;105;102;380000;3;4;50;17504;0.1094;4.376;239.8048;182.0416;010200002031BF0D00020000001266599627D82841183F6A66A18F5941171F045E3559284198B020ECBE855941
109;106;107;380000;3;4;50;114074;0.712963;28.5185;1562.8138;1186.3696;010200002031BF0D0002000000D4F7F84A48272B4187B3EC2318B95941DE2BE4CFD84C2D4133121B875D8C5941
110;86;108;380000;3;4;50;35441;0.221506;8.86025;485.5417;368.5864;010200002031BF0D0002000000421169903BFC27418863B05955BB594143B23E57E1FA2841114841BF32A65941
111;109;86;380000;3;4;50;22998;0.143738;5.7495;315.0726;239.1792;010200002031BF0D000200000032F3B4A5F6322841747CC9196C9D5941421169903BFC27418863B05955BB5941
112;86;84;380000;3;4;50;63803;0.398769;15.95075;874.1011;663.5512;010200002031BF0D0002000000421169903BFC27418863B05955BB59413214741A32E6274113206E2EA6145A41
113;106;110;380000;3;4;50;67379;0.421119;16.84475;923.0923;700.7416;010200002031BF0D0002000000D4F7F84A48272B4187B3EC2318B959413ABA6EDD95E52B41DCE5E478E9605941
114;111;112;220000;3;4;50;21323;0.42646;6.82336;245.2145;110.8796;010200002031BF0D00020000008A05B54775572641206E6074B74B5941A480D2A7F301274199B3A4168F5B5941
115;113;114;380000;3;4;50;34585;0.216156;8.64625;473.8145;359.684;010200002031BF0D000200000035D3628401B02741548DB29DE31E5941D13BBDF8D63E28413E9A2E5CA6045941
116;113;115;380000;3;4;50;44751;0.279694;11.18775;613.0887;465.4104;010200002031BF0D000200000035D3628401B02741548DB29DE31E5941F725024728EF2541C06C5899E92B5941
117;113;116;380000;3;4;50;68003;0.425019;17.00075;931.6411;707.2312;010200002031BF0D000200000035D3628401B02741548DB29DE31E5941917677DD24B72A41FB02C8152C1A5941
118;117;118;380000;3;4;50;12228;0.076425;3.057;167.5236;127.1712;010200002031BF0D0002000000207A13D6D57925418D1755EF3D2659415EF44088B1F32441BA3A8A3EFE1F5941
119;119;120;380000;3;4;50;10620;0.066375;2.655;145.494;110.448;010200002031BF0D000200000067B666C0CBC42641E80B3B51A34359415DC97287B27626412575B3B150485941
120;121;122;380000;3;4;50;28540;0.178375;7.135;390.998;296.816;010200002031BF0D00020000007036E7E4F0A9274104DF629F174E5941ECE0C89697922841DBAEC6405F6A5941
121;123;115;380000;3;4;50;16766;0.104787;4.1915;229.6942;174.3664;010200002031BF0D0002000000B9238C3DCA672541FD90AE479D245941F725024728EF2541C06C5899E92B5941
122;114;124;380000;3;4;50;42726;0.267037;10.6815;585.3462;444.3504;010200002031BF0D0002000000D13BBDF8D63E28413E9A2E5CA604594101493BD2B14E294142BE0E268EDB5841
123;117;115;380000;3;4;50;14743;0.092144;3.68575;201.9791;153.3272;010200002031BF0D0002000000207A13D6D57925418D1755EF3D265941F725024728EF2541C06C5899E92B5941
124;125;120;220000;3;;50;34374;;;;;010200002031BF0D00020000006094F0955F822641716BC9AC406F59415DC97287B27626412575B3B150485941
125;121;126;380000;3;4;50;16932;0.105825;4.233;231.9684;176.0928;010200002031BF0D00020000007036E7E4F0A9274104DF629F174E594199D7E6B7D3322841B1179C86CD5F5941
126;121;119;380000;3;4;50;22039;0.137744;5.50975;301.9343;229.2056;010200002031BF0D00020000007036E7E4F0A9274104DF629F174E594167B666C0CBC42641E80B3B51A3435941
127;127;128;380000;3;4;50;20646;0.129037;5.1615;282.8502;214.7184;010200002031BF0D000200000071E78680CC1A2741CCB3388A4D575941AB83E9746BCF27418805C1DE43605941
128;129;119;380000;3;4;50;22243;0.139019;5.56075;304.7291;231.3272;010200002031BF0D00020000009155F3C7F03E2741B6F4FDAA912A594167B666C0CBC42641E80B3B51A3435941
129;113;116;380000;3;4;50;68003;0.425019;17.00075;931.6411;707.2312;010200002031BF0D000200000035D3628401B02741548DB29DE31E5941917677DD24B72A41FB02C8152C1A5941
130;113;130;220000;3;4;50;24479;0.48958;7.83328;281.5085;127.2908;010200002031BF0D000200000035D3628401B02741548DB29DE31E5941FF4874CBDB1D2741237B0445473C5941
131;131;132;380000;3;4;50;30283;0.189269;7.57075;414.8771;314.9432;010200002031BF0D00020000001FC91C4FC3382A416CD5B09CEC9E5941F43E4B9542F12A4146DC084336B75941
132;121;119;380000;3;4;50;22039;0.137744;5.50975;301.9343;229.2056;010200002031BF0D00020000007036E7E4F0A9274104DF629F174E594167B666C0CBC42641E80B3B51A3435941
133;119;127;380000;3;4;50;18127;0.113294;4.53175;248.3399;188.5208;010200002031BF0D000200000067B666C0CBC42641E80B3B51A343594171E78680CC1A2741CCB3388A4D575941
134;113;115;380000;3;4;50;44751;0.279694;11.18775;613.0887;465.4104;010200002031BF0D000200000035D3628401B02741548DB29DE31E5941F725024728EF2541C06C5899E92B5941
135;113;124;380000;3;4;50;62381;0.389881;15.59525;854.6197;648.7624;010200002031BF0D000200000035D3628401B02741548DB29DE31E594101493BD2B14E294142BE0E268EDB5841
136;133;101;220000;6;2;50;41846;0.83692;13.39072;481.229;217.5992;010200002031BF0D0002000000B0200C3A062325410FDAE72A03BB5941C0FFC3D72BB22641D843A58A89B25941
137;134;86;220000;3;3;50;13500;0.36;4.32;155.25;52.65;010200002031BF0D0002000000173A83AAA7CD2741DE6125466AAA5941421169903BFC27418863B05955BB5941
138;119;135;380000;3;;50;2925;;;;;010200002031BF0D000200000067B666C0CBC42641E80B3B51A34359410EE2BDB2F7A626411DECFE4FFF405941
139;136;86;220000;3;;50;28023;;;;;010200002031BF0D000200000080DCE82574AD2841BCAA7892CEA55941421169903BFC27418863B05955BB5941
140;102;137;220000;3;;50;18405;;;;;010200002031BF0D0002000000171F045E3559284198B020ECBE85594131FD9A6161BA2841B6C426FC1B945941
141;138;103;220000;3;2;50;17736;0.70944;5.67552;203.964;46.1136;010200002031BF0D000200000055767B93226A284136A629A4C9A15941CFA3CA4DFE342841C225EA0B0B905941
142;125;119;220000;3;2;50;30676;1.22704;9.81632;352.774;79.7576;010200002031BF0D00020000006094F0955F822641716BC9AC406F594167B666C0CBC42641E80B3B51A3435941
143;136;139;220000;3;2;50;7062;0.28248;2.25984;81.213;18.3612;010200002031BF0D000200000080DCE82574AD2841BCAA7892CEA559418888EDD55AF9284110997786E5A45941
144;138;140;220000;3;;50;15151;;;;;010200002031BF0D000200000055767B93226A284136A629A4C9A15941354272ABC96328415516236C18945941
145;136;102;220000;3;2;50;30931;1.23724;9.89792;355.7065;80.4206;010200002031BF0D000200000080DCE82574AD2841BCAA7892CEA55941171F045E3559284198B020ECBE855941
146;141;142;220000;3;2;50;43148;1.72592;13.80736;496.202;112.1848;010200002031BF0D0002000000881DF58F288F2741564A6B65E64759417523543D51322741F6E9E3F7415E5941
147;143;103;220000;3;1;50;37515;3.0012;12.0048;431.4225;48.7695;010200002031BF0D0002000000249A5443D27F29414496C526C8875941CFA3CA4DFE342841C225EA0B0B905941
148;140;103;220000;3;2;50;12825;0.513;4.104;147.4875;33.345;010200002031BF0D0002000000354272ABC96328415516236C18945941CFA3CA4DFE342841C225EA0B0B905941
149;144;103;220000;3;;50;22117;;;;;010200002031BF0D000200000096A3AB8880E827410373CF422DAA5941CFA3CA4DFE342841C225EA0B0B905941
150;136;137;220000;3;2;50;12649;0.50596;4.04768;145.4635;32.8874;010200002031BF0D000200000080DCE82574AD2841BCAA7892CEA5594131FD9A6161BA2841B6C426FC1B945941
151;138;103;220000;3;2;50;21357;0.85428;6.83424;245.6055;55.5282;010200002031BF0D000200000055767B93226A284136A629A4C9A15941CFA3CA4DFE342841C225EA0B0B905941
152;143;103;220000;3;1;50;37227;2.97816;11.91264;428.1105;48.3951;010200002031BF0D0002000000249A5443D27F29414496C526C8875941CFA3CA4DFE342841C225EA0B0B905941
